StopNum,Type,Day,Longitude,Latitude,NumOfPackages
4378,Delivery,Mon,29.1270649,41.008193,4
4379,Pickup,Mon,29.30716,40.9297147,1
4380,Pickup,Mon,29.1442782,40.9296533,6
4381,Pickup,Mon,29.3069558,40.9297529,1
4382,Pickup,Mon,29.2246385,40.8849594,1
4383,Pickup,Mon,29.3253767,40.9373878,1
4384,Pickup,Mon,29.3253372,40.9373914,1
4385,Delivery,Mon,29.32096,40.9396623,1
4386,Delivery,Mon,29.3216081,40.9398221,5
4387,Delivery,Mon,29.3215729,40.9399462,1
4388,Pickup,Mon,29.2818983,40.8605184,1
4389,Delivery,Mon,29.2767415,40.9438521,1
4390,Delivery,Mon,29.2767431,40.9438536,1
4391,Pickup,Mon,29.3483577,40.9205171,1
4392,Delivery,Tue,29.234235,40.8827187,1
4393,Delivery,Tue,29.2309169,40.8928251,20
4394,Delivery,Tue,29.3603356,40.8459288,1
4395,Delivery,Tue,29.3598999,40.8449464,5
4396,Pickup,Tue,29.1068712,41.02518,5
4397,Pickup,Tue,29.2423981,40.9806394,2
4398,Delivery,Tue,29.5258826,40.7883158,1
4399,Delivery,Tue,29.3084303,40.8281819,1
4400,Delivery,Tue,29.2548929,40.9696871,1
4401,Delivery,Tue,29.2551088,40.9697013,15
4402,Pickup,Tue,29.4433193,40.795412,4
4403,Pickup,Tue,29.2135805,41.0089903,1
4404,Delivery,Tue,29.3036677,40.8676036,1
4405,Pickup,Tue,29.1069078,41.025188,13
4406,Pickup,Tue,29.1012283,40.9865139,96
4407,Pickup,Tue,29.1305998,40.9872414,1
4408,Delivery,Tue,29.5620007,40.8410998,1
4409,Delivery,Tue,29.3152543,40.8168623,4
4410,Delivery,Tue,29.3154167,40.8167406,4
4411,Pickup,Tue,29.2954601,40.9089372,1
4412,Delivery,Tue,29.1403235,41.000445,1
4413,Delivery,Tue,29.1403762,41.0004461,1
4414,Delivery,Tue,29.4180389,40.822025,1
4415,Delivery,Tue,29.3255253,40.9368479,1
4416,Pickup,Tue,29.3255729,40.936795,4
4417,Delivery,Tue,29.3470559,40.9207473,1
4418,Delivery,Tue,29.2738659,40.8643617,1
4419,Delivery,Tue,29.1208484,40.9529946,4
4420,Pickup,Mon,29.2025997,40.9103174,1
4421,Delivery,Tue,29.3248472,40.9371331,15
4422,Delivery,Tue,29.1690506,41.0217445,1
4423,Delivery,Tue,29.1908914,41.012942,1
4424,Delivery,Tue,29.1276575,41.0262473,13
4425,Delivery,Tue,29.1276432,41.0262695,1
4426,Delivery,Tue,29.124043,41.0233203,7
4427,Delivery,Tue,29.1276427,41.0262426,27
4428,Delivery,Tue,29.2676793,40.8797314,1
4429,Pickup,Tue,29.4432844,40.7955321,1
4430,Pickup,Tue,29.4432595,40.7955385,1
4431,Delivery,Tue,29.3193423,40.8307597,1
4432,Pickup,Tue,29.2731016,40.8635796,1
4433,Delivery,Tue,29.3149635,40.8171608,1
4434,Delivery,Tue,29.325193,40.9373236,1
4435,Delivery,Tue,29.4321789,40.7983824,1
4436,Pickup,Tue,29.314956,40.8171549,1
4437,Pickup,Tue,29.0990068,40.9978359,31
4438,Delivery,Tue,29.231373,40.8757819,1
4439,Delivery,Tue,29.1208638,40.9530038,58
4440,Delivery,Tue,29.5610621,40.8376313,1
4441,Delivery,Tue,29.2731729,40.863572,2
4442,Delivery,Tue,29.2061983,40.9102301,1
4443,Delivery,Tue,29.1403544,41.0004323,1
4444,Delivery,Tue,29.1403454,41.0004416,1
4445,Pickup,Tue,29.4322949,40.7984099,5
